Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
7031803-20260523-202902,12448239,IN C&B : NESTEA RTD COLD,BEVERAGES,F&B,NESTEA ICED TEA LEMON(30X200ml),Exact Product Code Match
7031803-20260522-163241,12448239,IN C&B : NESTEA RTD COLD,BEVERAGES,F&B,,Exact Product Code Match
7031803-20260103-124711,,Not Available,Not Available,Not Available,,Not Available
7031803-20260103-130740,,Not Available,Not Available,Not Available,,Not Available
601615-20260630-183043,,Not Available,Not Available,Not Available,,Not Available
601615-20260411-162608,,Not Available,Not Available,Not Available,,Not Available
601615-20260411-163040,,Not Available,Not Available,Not Available,,Not Available
601615-20260411-163353,,Not Available,Not Available,Not Available,,Not Available
601615-20260224-135032,12609881,IN NSB : Cerelac 4,INFANT NUTRITION,NN,,Exact Product Code Match
6659937-20260521-190120,13737115,IN C&C : Kitkat,CHOCOLATE,F&B,logistics name : avg,Exact Product Code Match
6659937-20260310-134115,,Not Available,Not Available,Not Available,,Not Available
6659937-20260226-133648,,Not Available,Not Available,Not Available,,Not Available
6659937-20260218-125950,,Not Available,Not Available,Not Available,,Not Available
6126390-20260506-104702,,Not Available,Not Available,Not Available,,Not Available
7283707-20260504-191911,,Not Available,Not Available,Not Available,,Not Available
5987453-20260629-115648,,Not Available,Not Available,Not Available,MAGGI 2 - MINN MASALA 48X140g N6,Not Available
5987453-20260629-125206,,Not Available,Not Available,Not Available,,Not Available
5987453-20260617-131751,12608551,IN CUL : Noodles,CULINARY,F&B,,Exact Product Code Match
5987453-20260420-125105,,Not Available,Not Available,Not Available,MAGGI NTR-ICS OATS MILLETS 24X298G IN,Not Available
4966450-20260625-122406,,Not Available,Not Available,Not Available,,Not Available
4966450-20260625-125456,,Not Available,Not Available,Not Available,,Not Available
4966450-20260624-184202,,Not Available,Not Available,Not Available,,Not Available
4966450-20260624-184429,,Not Available,Not Available,Not Available,,Not Available
4966450-20260608-125904,,Not Available,Not Available,Not Available,,Not Available
4966450-20260605-123618,,Not Available,Not Available,Not Available,,Not Available
4966450-20260605-135409,,Not Available,Not Available,Not Available,,Not Available
4966450-20260603-182229,12602711,IN C&B : Nescafe Sunrise Large Packs,BEVERAGES,F&B,,Exact Product Code Match
